ID,Nest,1st egg laid,Year,Date collection,Date collection num,Egg number collected,Time collection,Temperature - time of collection,Accumulated rain until collection,Clutch number,Female,Prop Lauric (SFA),Prop Myristic acid (SFA),Prop 15_0 (SFA),Prop Palmitic acid (SFA),Prop 17_0 (SFA),Prop Stearic (SFA),Prop Total SFA,Prop 14_1 (MUFA),Prop Oleic acid (MUFA),Prop 16:1n-9 (MUFA),Prop Palmitoleic acid (MUFA),Prop cis-vaccenic acid (MUFA),Prop Gondoic acid (MUFA),Prop 20:1n-7 (MUFA),Prop Total MUFA,Prop alfa-linolenic acid (n-3 PUFA),Prop EPA (n-3 PUFA),Prop DPA (n-3 PUFA),Prop DHA (n-3 PUFA),Prop Total n-3 PUFA,Prop 16:02 (n-6 PUFA),Prop gamma-linolenic (n-6 PUFA),Prop Linoleic acid (n-6 PUFA),Prop pinoleic acid (n-6 PUFA),Prop Eicosadienoic acid (n-6 PUFA),Prop dihomo-gamma-linolenic acid (n-6 PUFA),Prop eicosatrienoic acid (n-6 PUFA),Prop Arachidonic acid (n-6 PUFA),Prop 22:4n-6 (n-6 PUFA),Prop 22:5n-6 (n-6 PUFA),Prop Total n-6 PUFA,Prop 18:2 (n-9 PUFA),Prop Total n-9 PUFA,Prop Ratio n6/n3,Temp 3 days before,Mean accumulated rain 3 days previous
12,201,18-Apr-15,2015,21-Apr-15,4.21,4,11:11:00 AM,18,0,1,C3K 7165,0.006129426,0.257194338,0.066101235,20.06768687,0.495658285,7.871481573,28.76425173,NA,39.20258978,1.124415383,1.379629528,1.658538991,0.059451416,1.855561307,45.28018641,2.020186873,0.234050306,1.346810553,0.265626678,3.86667441,0.027258131,0.092954245,18.94216089,0,0.365944365,0.33635688,0,2.027417804,0.26648437,NA,22.05857669,0.030310765,0.030310765,5.704792891,5.72,0
22,128,21-Apr-15,2015,24-Apr-15,4.24,4,9:53:00 AM,12,0,1,C3K 7142,0.009371203,0.355006994,0.086040983,19.90270752,0.585818802,8.263339761,29.20228526,NA,38.80993517,1.274764638,1.679857025,1.863247176,0.046734308,1.113369527,44.78790784,3.150605289,0.370649999,1.99447632,0.21686069,5.732592298,0.082604871,0.084883265,17.0111699,0.123608097,0.339693839,0.268513291,0.118490706,2.030612921,0.145796939,NA,20.20537383,0.071840766,0.071840766,3.524648672,8.1,0
23,137,21-Apr-15,2015,24-Apr-15,4.24,4,10:11:00 AM,13.5,0,1,NA,0.008235634,0.314728781,0.069283488,16.95068522,0.489956976,7.908558337,25.74144844,NA,39.36799963,1.720898568,0.685213365,1.377137349,0.061763009,1.995531721,45.20854364,1.592467044,0.266605158,1.574582306,0.309293667,3.742948175,0.044507075,0.098200859,21.97884594,0,0.387052565,0.304211419,0,2.108477033,0.352669831,NA,25.27396472,0.033095023,0.033095023,6.752421765,8.1,0
24,140,21-Apr-15,2015,24-Apr-15,4.24,4,9:23:00 AM,10.5,0,1,C3F 8062,0.007191048,0.300373963,0.061747851,19.13940179,0.437482847,8.274646102,28.2208436,NA,41.2500571,1.525532716,1.330980046,1.340199974,0.040348721,1.167254245,46.6543728,3.438146929,0.267005681,1.424256648,0.231942563,5.361351821,0.077426945,0.068836482,17.12318709,0.099306388,0.286757871,0.214629279,0.098833916,1.574389746,0.130820927,NA,19.67418864,0.089243128,0.089243128,3.669632082,8.1,0
25,161,21-Apr-15,2015,24-Apr-15,4.24,4,11:34:00 AM,16,0,1,C3F 8932,0.006784092,0.313908773,0.088030233,18.34612337,0.543792822,8.173756992,27.47239628,NA,38.17576729,1.466048359,0.862550575,1.407219629,0.074034798,2.160111712,44.14573236,1.372727126,0.309920916,1.41336785,0.346275879,3.442291771,0.041344954,0.112056638,21.64964427,0,0.348682207,0.338129062,0,2.148064797,0.263988512,NA,24.90191044,0.037669141,0.037669141,7.234108,8.1,0
26,206,21-Apr-15,2015,24-Apr-15,4.24,4,10:55:00 AM,15,0,1,C3K 6005,0.007984383,0.311151521,0.085728733,19.61878923,0.490884025,7.325550812,27.8400887,NA,39.34896566,1.578150029,1.245089016,1.397680253,0.048054541,1.605046442,45.22298594,2.096033856,0.305131932,1.438597576,0.379085583,4.218848947,0.040651151,0.136695181,19.37308204,0.000999471,0.265699587,0.351307316,0,2.257348375,0.23500543,NA,22.66078855,0.057287856,0.057287856,5.371320196,8.1,0
21,126,21-Apr-15,2015,24-Apr-15,4.24,4,9:42:00 AM,12,0,1,C3F 8926,0.011482298,0.37211333,0.068640652,18.74685059,0.45365189,7.875571033,27.52830979,NA,38.00672682,1.641630539,1.845899816,1.591532945,0.059899656,1.500713318,44.64640309,2.597498271,0.380562926,1.644973384,0.286342553,4.909377134,0.061601111,0.110076995,19.69266123,0.017617539,0.322661569,0.367780038,0,2.063735926,0.210641699,NA,22.84677611,0.069133868,0.069133868,4.653701576,8.1,0
17,204,19-Apr-15,2015,22-Apr-15,4.22,4,10:53:00 AM,9.5,0,1,C3K 7126,0.005429829,0.300376345,0.079544304,20.04157435,0.596131924,8.297363475,29.32042023,NA,38.84884317,1.305668335,1.314699156,1.493628844,0.044103209,1.758912538,44.76585525,2.196313569,0.219191795,1.558499405,0.275196288,4.249201057,0.031261136,0.078523604,18.43021016,0,0.46253447,0.300088292,0,2.065004248,0.245235613,NA,21.61285752,0.051665953,0.051665953,5.086334403,6.9,0
20,110,21-Apr-15,2015,24-Apr-15,4.24,4,9:04:00 AM,10.5,0,1,NA,0.007083708,0.312309369,0.079322301,18.42223596,0.495866559,8.014018465,27.33083636,NA,38.47502941,1.747774705,0.819990064,0.642718747,0.068487692,1.997740521,43.75174114,2.231417616,0.220786081,1.307937936,0.276067112,4.036208745,0.041754559,0.114840606,21.9122095,0,0.338608581,0.311039938,0,1.921675401,0.208521,NA,24.84864959,0.032564167,0.032564167,6.156433216,8.1,0
30,139,23-Apr-15,2015,26-Apr-15,4.26,4,12:29:00 PM,18,0,1,C3K 6015,0.011942582,0.457221071,0.114252322,21.03427364,0.606522874,7.429802748,29.65401524,NA,38.79253009,1.389179204,1.339834009,1.351282198,0.065612045,1.321930004,44.26036755,2.817527373,0.304238327,1.45846295,0.312644985,4.892873635,0.084038055,0.113225852,17.87142117,0.211827105,0.301389683,0.293470421,0.225967165,1.894847666,0.137664369,NA,21.13385149,0.058892094,0.058892094,4.319312752,7.92,0
